original,corregido
"ФК ПЕЛАГОНИЈА БЕЛ КАМЕН","Пелагонија Бел Камен"
"ФК ПЕРПАРИМИ НИГИШТАН","Перпарими Нигиштан"
"ФК ПОБЕДА Ивањевци","Победа Ивањевци"
"ФК ПОБЕДА с.Тромеѓа Куманово","Победа Тромеѓа"
"ФК ПОЕШЕВО","Поешево"
"ФК ПОЛЕТ с.Тремник","Полет"
"ФК ПРОГОН","Прогон"
"ФК ПРОЛЕТЕР с.Тумчевиште","Пролетер"
"ФК РАН ПРОИЗВОД","Ран Производ"
"ФК РИНИА с.Неготино","Риниа"
"ФК РРАМАЛИА Куманово","Ррамалиа"
"ФК Раштак","Раштак"
"ФК СОГЛЕ","Согле"
"ФК ТИМ ЛОКОМОТИВА 2018","Тим Локомотива 2018"
"ФК УСКУП 1911","Ускуп 1911"
"ФК ЧАГОР","Чагор"
"ФК ЧЕШВАЛ","Чешвал"
"ФК ШИШЕВО","Шишево"
"Фк Бујковци","Бујковци"
"Фк Ваксинца","Ваксинца"
"Фк Градец","Градец"
"Фк Дељадровци 2010","Дељадровци"
"Фк Лириа Цхеркези","Лириа Черкези"
"Фк Миладиновци","Миладиновци"
"Фк Младост Беранци - Могила","Младост Беранци"
"Фк Орашац","Орашац"
"Фк Петровец","Петровец"
"Фк Речица С.речица","Речица"
"Фк Трновци","Трновци"
"Фк Форца Нова","Форца Нова"
"Фк Црвена Свезда","Црвена Ѕвезда Јосифово"
"Фк Црна Река С.долна Цхарлија","Црна Река"
"Фк Четирце","Четирце"
"ЗГФК ЕДЕН НА ЕДЕН","Еден на Еден"
"ЗФК ПЕЛАГОНИЈА с.Добромири","Пелагонија Добромири"
"ЗФК ПИРОК","Пирок"
"Зфк Вардар Бистренци","Вардар Бистренци"
"ФК ЈАНГ ТИМ","Јанг Тим"
"ФК Јехона 96","Јехона 96"
"ФК АКАДЕМИЈА ЕВРО ГОЛ Прилеп","Академија Евро Гол"
"ФК АКАДЕМИЈА ТАЛЕНТИ - Гостивар","Академија Таленти"
"ФК АЛБАРСА","Албарса"
"ФК АТЛЕТИКО 2021","Атлетико Чешиново"
"ФК БАШКИМИ 2008","Башкими 2008"
"ФК БОРОТИНО","Борoтино"
"ФК БРАТСТВО 07","Братство 07"
"ФК БУКОВО 1936","Буково"
"ФК БУТЕЛ 2017","Бутел 2017"
"ФК Беса Глобал","Беса Глобал"
"ФК ВЕЛАЗЕРИМИ с.Слатино","Влазрими Слатино"
"ФК ВОНДЕРКИДС ФУДБАЛСКА ШКОЛА","Вондеркидс"
"ФК ВРАПЧИШТЕ - 1958","Врапчиште"
"ФК ГРОЗДАНОСКИ Илинден","Грозданоски"
"ФК ДЈОКЕР 2018","Џокер"
"ФК ДАРДАНИА 99","Дарданиа 99"
"ФК ДРАЧЕВО ЈУНИОР","Драчево Јуниор"
"ФК Дарданет Академи","Дарданет Академи"
"ФК ЕВРОТИП ОНЛАЈН","Евротип Онлајн"
"ФК ЕС","ЕС"
"ФК КАНАТЛАРСПОР","Канатларспор"
"ФК КАРЕВ","Карев"
"ФК КИЧЕВО","Кичево"
"ФК КОРЗО 2016","Корзо 2016"
"ФК КСК","КСК"
"ФК КУЛ-ЗДРАВЈЕ","Кул Здравје"
"ФК КУМАНОВО 2012","Куманово 2012"
"ФК КУМАНОВО ЕУРОСПОРТ-ВАРДАР","Куманово Еуроспорт-Вардар"
"ФК ЛА МАСИА","Ла Масиа"
"ФК ЛИРИЈА с.Зхелино","Лирија"
"ФК Лопатица","Лопатица"
"ФК МАЛ АЈАКС-ВАРДАР","Мал Ајакс Вардар"
"ФК МЛАДОСТ ПОЛЕТ Демир Хисар","Младост Полет"
"ФК НЕКСТ ЛЕВЕЛ 2020 Охрид","Некст Левел"
"ФК НОВА КОЛОНИЈА","Нова Колонија"
"ФК ОСК ФЕР ПЛЕЈ","ОСК Фер Плеј"
"ФК ПАРК ДООЕЛ Скопје","Парк Дооел"
"ФК ПАРТИЗАН 2021 Добрушево, Могила","Партизан Добрушево"
"ФК ПАРТИЗАН ЈУГ Брвеница","Партизан Југ Брвеница"
"ФК ПАРТИЗАН Обршани","Партизан Обршани"
"ФК ПОБЕДА КИДС","Победа Кидс"
"ФК ПОБЕДА с.Пепелиште","Победа Пепелиште"
"ФК ПРИЛЕП СИТИ","Прилеп Сити"
"ФК ПРОЛЕТЕР Прилеп","Пролетер"
"ФК РИНИЈА","Ринија"
"ФК РУФЕЈА 93","Руфеја 93"
"ФК Риниа Пршовце","Риниа Пршовце"
"ФК САРАЈ","Сарај"
"ФК СКУПИ-ПРОМО-ФООТ Скопје","Скупи Промо Фут"
"ФК ССК НОВА","ССК Нова"
"ФК УСКАНА","Ускана"
"ФК ФИТ КИД","Фит Кид"
"ФК ФУДБАЛ СТАРС","Фудбал Старс"
"ФК ХАЈДУК","Хајдук"
"ФК Хајдук Вратница","Хајдук Вратница"
"ФК ШАРРИ 1979","Шари"
"Фк Јегуновце 2022","Јегуновце"
"Фк Беса С.цхелопек","Беса Челопек"
"Фк Брегалница-сениори","Брегалница Сениори"
"Фк Вашарејца 2022 Могила","Вашарејца"
"Фк Канатларци","Канатларци"
"Фк Лепенец","Лепенец"
"Фк Теарца-97","Теарца 97"
"Фк Форца-вардар","Форца"
"Фк Фцп Палатица","ФЦП Палатица"
"Фк Цетинска","Цетинска"
"ФК КОЗАРА-ЗАПОЛЖАНИ","Козара"
"ФК БРАТСТВО ГОЛЕМО КОЊАРИ","Братство Големо Коњари"
"ФК КАДИЦА 1965","Кадица"
"ФК ДИНАМО","Динамо"
"ФК КАДИНО Прилеп","Кадино Прилеп"
"ФК Црвена Звезда Сенокос","Црвена Звезда Сенокос"
"ФК ГАРВАН ДЕСОВО с.Десово, Долнени","Гарван"
"ФК СТРЕЛА 21","Стрела 21"
"ФК ГОРСКИ","Горски"
"ФК ЕЛЕНИК СПОРТ","Еленик Спорт"
"ЗФК ВАРДАР БИСТРЕНЦИ","Вардар Бистренци"
"ФК ПОБЕДА с.Пепелиште","Победа Пепелиште"
"ФК ТИСА","Тиса"
"ФК КЛЕЧОВЦЕ","Клечовце"
"Јасмин Ѓорѓијев Лука","Ѓорѓијев Лука Јасмин"
"Јацк Лушиновски Давид","Лушиновски Давид Јацк"
"Донгмо Данел Јордан","Донгмо Данел"
"Џан Шабан Расим","Шабан Расим Џан"
"Џефри Ли Етан","Ли Етан Џефри"
"Марцо Ангелетти","Ангелети Марко"
"Олаосебикан Ибрахим Абиодун","Олаосебикан Абиодун"
"Исса Усман Адекунле","Адекунле Иса"
"Горгиовски Константино Алекс","Горгиовски Константино"
"Али Исмаили Мухамед","Исмаили Мухамед Али"
"Адаму Ибрахим Алхассан","Алхассан Ибрахим"
"Ферреира Пирес Мигуел Ангело","Анџело Фереира Пирес Мигел"
"Андреј Данчевски Данстак","Данчевски Данстак Андреј"
"Аринзе Езеб Јајсон","Езеб Јајсон Аринзе"
"Азиз Бајо Фахад","Фахад Азиз Бајо"
"Ќурчиески Благој Папаз","Папаз Ќурчиески Благој"
"Митев Габриел Фударски","Фударски Митев Габриел"
"Блажевски Еминов Горазд","Блажевски Еминов Горазд"
"Далеј Кристојае Дамаррио","Далеј Кристојае Дамаррио"
"Торрес Јоакин Едуардо","Торес Јоакин"
"Гуерреро Куинтана Екснејдер","Гереро Екснејдер"
"Еммануел Акабуезе Чуквума","Акабуезе Чуквума Еммануел"
"Есад Тмушиќ Мухамед","Тмушиќ Мухамед Есад"
"Каан Озтурк Ахмет","Озтурк Ахмет Каан"
"Хајвали Кадир Малик","Хајвали Малик"
"Калани Царрилхо Дос Сантос Алмеида","Алмејда Калани"
"Мато Рогерс Кассим","Мато Роџерс"
"Коффи Аколатсе Чарлес Беноит","Аколатсе Чарлс"
"Ламбро Анастасовски Димитар","Анастасовски Димитар Ламбро"
"Јарјуе Маудо Ламине","Јарјуе Маудо"
"Пулеио Араја Иан Луцас","Пулеио Иан"
"Мерт Алиов Реџеп","Алиов Реџеп Мерт"
"Михаил Хаџи Читкушев Кан","Хаџи Читкушев Кан Михаил"
"Неим Мурат Џихангир","Мурат Џихангир Неим"
"Марковски Андре Петре","Андре Марковски Петре"
"Нѕенгуе Моубети Фахд Ричард","Нѕенге Фахд"
"Вебстер Роналдо Ромарио","Вебстер Роналдо"
"Таха Менга Намик","Менга Намик Таха"
"Туше Стојановски Дарио","Стојановски Дарио Туше"
"Ондоа Ебого Јосепх Фабрице","Ондоа Фабрис"
"Папе Јар Фал","Фал Папе"
"Гуедес Рибеиро Луис Филипе","Рибејро Луис"
"Еступинан Риасцос Јосе Хернандо","Еступињан Јосе"
"Гонзалез Димова Давид Хосуе","Гонзалез Димова Давид"
"Христијан Поп Антоски","Поп Антоски Христијан"
"Цабарцас Перез Јосе Царлос","Карлос Кабаркас Перез Јосе"
"Шелден Крантхове Јустен","Крантхове Јустен Шелден"
"Маријан Симоновски Борис","Симоновски Борис Маријан"
"Драган Павлов Стефан","Павлов Стефан Драган"
"Милена Димковиќ Вучковска","Димковиќ Вучковска Милена"
"Бесагич Армин","Бешагиќ Армин"
"Хаѕиц Недим","Хаџиќ Недим"
"Цастенада Диего","Кастањеда Диего"
"Омерагич Азер","Омерагиќ Азер"
