mk,sq,es,en
Марио Костиќ,Mario Kostić,Mario Kostić,Mario Kostić
Марио Лазиќ,Mario Lazić,Mario Lazić,Mario Lazić
Марио Митровиќ,Mario Mitrović,Mario Mitrović,Mario Mitrović
Марко Велимировиќ,Marko Velimirović,Marko Velimirović,Marko Velimirović
Марко Грбиќ,Marko Grbić,Marko Grbić,Marko Grbić
Марко Комненовиќ,Marko Komnenović,Marko Komnenović,Marko Komnenović
Марко Митиќ,Marko Mitić,Marko Mitić,Marko Mitić
Марко Мишиќ,Marko Mišić,Marko Mišić,Marko Mišić
Марко Младеновиќ,Marko Mladenović,Marko Mladenović,Marko Mladenović
Марко Стефановиќ,Marko Stefanović,Marko Stefanović,Marko Stefanović
Марко Шегмановиќ,Marko Šegmanović,Marko Šegmanović,Marko Šegmanović
Мартин Јовановиќ,Martin Jovanović,Martin Jovanović,Martin Jovanović
Мартин Маниќ,Martin Manić,Martin Manić,Martin Manić
Мартин Младеновиќ,Martin Mladenović,Martin Mladenović,Martin Mladenović
Мартин Никовиќ,Martin Niković,Martin Niković,Martin Niković
Мартин Радуловиќ-величковиќ,Martin Radulović-Veličković,Martin Radulović-Veličković,Martin Radulović-Veličković
Мартин Симиќ,Martin Simić,Martin Simić,Martin Simić
Мартин Стефановиќ,Martin Stefanović,Martin Stefanović,Martin Stefanović
Мартин Страхињиќ,Martin Strahinjić,Martin Strahinjić,Martin Strahinjić
Марчело Абаз,Marčelo Abaz,Marčelo Abaz,Marčelo Abaz
Матеј Јанковиќ,Matej Janković,Matej Janković,Matej Janković
Матеј Киш,Matej Kiš,Matej Kiš,Matej Kiš
Матеј Кочишки,Matej Kočiški,Matej Kočiški,Matej Kočiški
Матеј Митровиќ,Matej Mitrović,Matej Mitrović,Matej Mitrović
Матеј Пармачки,Matej Parmački,Matej Parmački,Matej Parmački
Матеј Симиќ,Matej Simić,Matej Simić,Matej Simić
Махир Дечковиќ,Mahir Dečković,Mahir Dečković,Mahir Dečković
Машо Куртагиќ,Mašo Kurtagić,Mašo Kurtagić,Mašo Kurtagić
Маљик Имери,Malik Imeri,Malik Imeri,Malik Imeri
Маудо Јарјуе,Maudo Jarjué,Maudo Jarjué,Maudo Jarjué
Мевлан Јашари,Mevlan Jashari,Mevlan Jashari,Mevlan Jashari
Мевљан Абдулаи,Mevlan Abdulai,Mevlan Abdulai,Mevlan Abdulai
Мелик Шерифи,Melik Sherifi,Melik Sherifi,Melik Sherifi
Ментор Џафери,Mentor Xhaferi,Mentor Xhaferi,Mentor Xhaferi
Ментор Саљиу,Mentor Saliu,Mentor Saliu,Mentor Saliu
Мерван Мемиши,Mervan Memishi,Mervan Memishi,Mervan Memishi
Мерис Качар,Meris Kačar,Meris Kačar,Meris Kačar
Мерис Шкријељ,Meris Škrijelj,Meris Škrijelj,Meris Škrijelj
Мерсуд Сељмани,Mersud Selmani,Mersud Selmani,Mersud Selmani
Мерт Алиов Реџеп,Mert Aliov Rexhep,Mert Aliov Rexhep,Mert Aliov Rexhep
Мерџан Аљуши,Merxhan Alushi,Merxhan Alushi,Merxhan Alushi
Метин Беќири,Metin Beqiri,Metin Beqiri,Metin Beqiri
Метин Реџепи,Metin Rexhepi,Metin Rexhepi,Metin Rexhepi
Меџаид Аслани,Mexhaid Aslani,Mexhaid Aslani,Mexhaid Aslani
Меџаит Сејди,Mexhait Sejdi,Mexhait Sejdi,Mexhait Sejdi
Мики Алексиќ,Miki Aleksić,Miki Aleksić,Miki Aleksić
Милазим Вељии,Milazim Velii,Milazim Velii,Milazim Velii
Милан Јовановиќ,Milan Jovanović,Milan Jovanović,Milan Jovanović
Милан Благојевиќ,Milan Blagojević,Milan Blagojević,Milan Blagojević
Милан Недељковиќ,Milan Nedeljković,Milan Nedeljković,Milan Nedeljković
Милан Павковиќ,Milan Pavković,Milan Pavković,Milan Pavković
Милан Трендафиловиќ,Milan Trendafilović,Milan Trendafilović,Milan Trendafilović
Миле Марковиќ,Mile Marković,Mile Marković,Mile Marković
Миле Пауновиќ,Mile Paunović,Mile Paunović,Mile Paunović
Милован Петровиќ,Milovan Petrović,Milovan Petrović,Milovan Petrović
Милорад Андоновиќ,Milorad Andonović,Milorad Andonović,Milorad Andonović
Милош Јовановиќ,Miloš Jovanović,Miloš Jovanović,Miloš Jovanović
Милош Костиќ,Miloš Kostić,Miloš Kostić,Miloš Kostić
Милош Мандиќ,Miloš Mandić,Miloš Mandić,Miloš Mandić
Милош Николиќ,Miloš Nikolić,Miloš Nikolić,Miloš Nikolić
Милош Станојевиќ,Miloš Stanojević,Miloš Stanojević,Miloš Stanojević
Мираџ Исмаили,Miraxh Ismaili,Miraxh Ismaili,Miraxh Ismaili
Мираџ Махмут,Miraç Mahmut,Miraç Mahmut,Miraç Mahmut
Мираџ Шахини,Miraxh Shahini,Miraxh Shahini,Miraxh Shahini
Мирза Скендеровиќ,Mirza Skenderović,Mirza Skenderović,Mirza Skenderović
Мирза Хасиќ,Mirza Hasić,Mirza Hasić,Mirza Hasić
Мирнел Хурич,Mirnel Hurič,Mirnel Hurič,Mirnel Hurič
Мирослав Урошевиќ,Miroslav Urošević,Miroslav Urošević,Miroslav Urošević
Мирсад Рамиќ,Mirsad Ramić,Mirsad Ramić,Mirsad Ramić
Мислав Матиќ,Mislav Matić,Mislav Matić,Mislav Matić
Митхат Бешировиќ,Mithat Beširović,Mithat Beširović,Mithat Beširović
Мифтар Шаќири,Miftar Shaqiri,Miftar Shaqiri,Miftar Shaqiri
Михаел Јовановиќ,Mihael Jovanović,Mihael Jovanović,Mihael Jovanović
Михаил Хаџи Читкушев Кан,Mihail Hadži Čitkušev Kan,Mihail Hadži Čitkušev Kan,Mihail Hadži Čitkušev Kan
Мишевски Бобан,Miševski Boban,Miševski Boban,Miševski Boban
Миљан Говедарица,Miljan Govedarica,Miljan Govedarica,Miljan Govedarica
Миџаит Касами,Mixhait Kasami,Mixhait Kasami,Mixhait Kasami
Муадх Куртиш,Muadh Kurtish,Muadh Kurtish,Muadh Kurtish
Мубарек Шасивари,Mubarek Shahsivari,Mubarek Shahsivari,Mubarek Shahsivari
Музафер Чилафи,Muzafer Çilafi,Muzafer Çilafi,Muzafer Çilafi
Мухамед Љоки,Muhamed Loki,Muhamed Loki,Muhamed Loki
Мухамед Ќамили,Muhamed Qamili,Muhamed Qamili,Muhamed Qamili
Мухамед Џемаили,Muhamed Xhemaili,Muhamed Xhemaili,Muhamed Xhemaili
Мухамед Иљази,Muhamed Iljazi,Muhamed Iljazi,Muhamed Iljazi
Мухамед Шабани,Muhamed Shabani,Muhamed Shabani,Muhamed Shabani
Мухамед Шазивари,Muhamed Shazivari,Muhamed Shazivari,Muhamed Shazivari
Мухамед Шаини,Muhamed Shaini,Muhamed Shaini,Muhamed Shaini
Мухарем Шеху,Muharem Shehu,Muharem Shehu,Muharem Shehu
Мухједин Дардхишта,Muhjedin Dardhishta,Muhjedin Dardhishta,Muhjedin Dardhishta
Муќеран Асани,Muqeran Asani,Muqeran Asani,Muqeran Asani
Назми Бектеши,Nazmi Bekteshi,Nazmi Bekteshi,Nazmi Bekteshi
Нарон Шабани,Naron Shabani,Naron Shabani,Naron Shabani
Насер Каришиќ,Naser Karišić,Naser Karišić,Naser Karišić
Насер Шеапи,Naser Sheapi,Naser Sheapi,Naser Sheapi
Натмир Зеќири,Natmir Zeqiri,Natmir Zeqiri,Natmir Zeqiri
Ндерим Јашари,Nderim Jashari,Nderim Jashari,Nderim Jashari
Недим Хаџиќ,Nedim Hadžić,Nedim Hadžić,Nedim Hadžić
Неим Мурат Џихангир,Neim Murat Xhihangir,Neim Murat Xhihangir,Neim Murat Xhihangir
Нексхати Шабани,Nexhati Shabani,Nexhati Shabani,Nexhati Shabani
Немања Босанчиќ,Nemanja Bosančić,Nemanja Bosančić,Nemanja Bosančić
Немања Вујачиќ,Nemanja Vujačić,Nemanja Vujačić,Nemanja Vujačić
Немања Стојковиќ,Nemanja Stojković,Nemanja Stojković,Nemanja Stojković
Ненад Вељовиќ,Nenad Veljović,Nenad Veljović,Nenad Veljović
Нермин Шаботиќ,Nermin Šabotić,Nermin Šabotić,Nermin Šabotić
Несим Џелили,Nesim Xhelili,Nesim Xhelili,Nesim Xhelili
Нешат Мурати,Neshat Murati,Neshat Murati,Neshat Murati
Нешат Рамани,Neshat Ramani,Neshat Ramani,Neshat Ramani
Неџат Хусеин,Nexhat Husein,Nexhat Husein,Nexhat Husein
Неџбедин Сулејмани,Nexhbedin Sulejmani,Nexhbedin Sulejmani,Nexhbedin Sulejmani
Никола Аврамовиќ,Nikola Avramović,Nikola Avramović,Nikola Avramović
Никола Голејшки,Nikola Golejški,Nikola Golejški,Nikola Golejški
Никола Пејовиќ,Nikola Pejović,Nikola Pejović,Nikola Pejović
Никола Стојковиќ,Nikola Stojković,Nikola Stojković,Nikola Stojković
Николај Тричковиќ,Nikolaj Tričković,Nikolaj Tričković,Nikolaj Tričković
Ниметуља Ајдари,Nimetulla Ajdari,Nimetulla Ajdari,Nimetulla Ajdari
Нинослав Јовановиќ,Ninoslav Jovanović,Ninoslav Jovanović,Ninoslav Jovanović
Новица Стоилковиќ,Novica Stoilković,Novica Stoilković,Novica Stoilković
Нуман Ајетовиќ,Numan Ajetović,Numan Ajetović,Numan Ajetović
Окан Џемајл,Okan Cemayl,Okan Cemayl,Okan Cemayl
Олси Вељиу,Olsi Veliu,Olsi Veliu,Olsi Veliu
Омар Беровиќ,Omar Berović,Omar Berović,Omar Berović
Омар Дурмиши,Omar Durmishi,Omar Durmishi,Omar Durmishi
Омар Нуриши,Omar Nurishi,Omar Nurishi,Omar Nurishi
Омер Јашари,Omer Jashari,Omer Jashari,Omer Jashari
Омер Љимани,Omer Limani,Omer Limani,Omer Limani
Омер Љума,Omer Luma,Omer Luma,Omer Luma
Омер Џеладини,Omer Xheladini,Omer Xheladini,Omer Xheladini
Омер Исламагиќ,Omer Islamagić,Omer Islamagić,Omer Islamagić
Омер Ковачи,Omer Kovaçi,Omer Kovaçi,Omer Kovaçi
Омер Факиќ,Omer Fakić,Omer Fakić,Omer Fakić
Омер Шабани,Omer Shabani,Omer Shabani,Omer Shabani
Онур Бешир,Onur Beşir,Onur Beşir,Onur Beşir
Онур Чако,Onur Çako,Onur Çako,Onur Çako
Осман Хасановиќ,Osman Hasanović,Osman Hasanović,Osman Hasanović
Павел Додиќ,Pavel Dodić,Pavel Dodić,Pavel Dodić
Панче Станковиќ,Panče Stanković,Panče Stanković,Panče Stanković
Папе Фал,Pape Fall,Pape Fall,Pape Fall
Петар Ристиќ,Petar Ristić,Petar Ristić,Petar Ristić
Планит Шерифи,Planit Sherifi,Planit Sherifi,Planit Sherifi
Раденко Бојовиќ,Radenko Bojović,Radenko Bojović,Radenko Bojović
Радомир Вешковиќ,Radomir Vešković,Radomir Vešković,Radomir Vešković
Рамадан Шерифи,Ramadan Sherifi,Ramadan Sherifi,Ramadan Sherifi
Рамазан Ќерими,Ramazan Qerimi,Ramazan Qerimi,Ramazan Qerimi
Рамо Прентиќ,Ramo Prentić,Ramo Prentić,Ramo Prentić
Рамуш Сали,Ramush Sali,Ramush Sali,Ramush Sali
Рацко Димковиќ,Racko Dimković,Racko Dimković,Racko Dimković
Рашид Јусуфи,Rashid Jusufi,Rashid Jusufi,Rashid Jusufi
Резон Аљиљи,Rezon Alili,Rezon Alili,Rezon Alili
Ресуљ Мемети,Resul Memeti,Resul Memeti,Resul Memeti
Ресуљ Миртезани,Resul Mirtezani,Resul Mirtezani,Resul Mirtezani
Рефет Ибиши,Refet Ibishi,Refet Ibishi,Refet Ibishi
Решат Весели,Reshat Veseli,Reshat Veseli,Reshat Veseli
Решат Рамадани,Reshat Ramadani,Reshat Ramadani,Reshat Ramadani
Рејан Реџепи,Rejan Rexhepi,Rejan Rexhepi,Rejan Rexhepi
Рејхан Џелеши,Rejhan Xheleshi,Rejhan Xheleshi,Rejhan Xheleshi
Рејхан Шахсивари,Rejhan Shahsivari,Rejhan Shahsivari,Rejhan Shahsivari
Реџеп Љума,Rexhep Luma,Rexhep Luma,Rexhep Luma
Реџеп Алиу,Rexhep Aliu,Rexhep Aliu,Rexhep Aliu
Реџеп Мурати,Rexhep Murati,Rexhep Murati,Rexhep Murati
Реџеп Пашо,Rexhep Pasho,Rexhep Pasho,Rexhep Pasho
Ридван Љамалари,Ridvan Llamalari,Ridvan Llamalari,Ridvan Llamalari
Ридван Исмаиљи,Ridvan Ismaili,Ridvan Ismaili,Ridvan Ismaili
Ридван Куртиши,Ridvan Kurtishi,Ridvan Kurtishi,Ridvan Kurtishi
Риланд Ќаили,Riland Qaili,Riland Qaili,Riland Qaili
Рилинд Речи,Rilind Reçi,Rilind Reçi,Rilind Reçi
Ринис Аљити,Rinis Aliti,Rinis Aliti,Rinis Aliti
Ринор Ќазими,Rinor Qazimi,Rinor Qazimi,Rinor Qazimi
Ринор Џафери,Rinor Xhaferi,Rinor Xhaferi,Rinor Xhaferi
Ринор Гаши,Rinor Gashi,Rinor Gashi,Rinor Gashi
Ринор Реџепи,Rinor Rexhepi,Rinor Rexhepi,Rinor Rexhepi
Ринор Шерифи,Rinor Sherifi,Rinor Sherifi,Rinor Sherifi
Рихан Зеќири,Rihan Zeqiri,Rihan Zeqiri,Rihan Zeqiri
Ричард Нѕенгуе Моубети Фахд,Richard Nzengue Moubeti Fahd,Richard Nzengue Moubeti Fahd,Richard Nzengue Moubeti Fahd
Ријад Беровиќ,Rijad Berović,Rijad Berović,Rijad Berović
Ријад Шабани,Rijad Shabani,Rijad Shabani,Rijad Shabani
Рони Реџепи,Roni Rexhepi,Roni Rexhepi,Roni Rexhepi
Роналдо Вебстер,Ronaldo Webster,Ronaldo Webster,Ronaldo Webster
Роџерс Мато,Rogers Mato,Rogers Mato,Rogers Mato
Ррон Красниќи,Rron Krasniqi,Rron Krasniqi,Rron Krasniqi
Ружди Ајдари,Ruzhdi Ajdari,Ruzhdi Ajdari,Ruzhdi Ajdari
Рустем Бериша,Rustem Berisha,Rustem Berisha,Rustem Berisha
Руфат Чалафи,Rufat Çalafi,Rufat Çalafi,Rufat Çalafi
Рушан Саљии,Rushan Salii,Rushan Salii,Rushan Salii
Рушту Јонус,Rushtu Jonus,Rushtu Jonus,Rushtu Jonus
Сабир Беља,Sabir Bela,Sabir Bela,Sabir Bela
Сабри Ибиши,Sabri Ibishi,Sabri Ibishi,Sabri Ibishi
Сали Љиварека,Sali Livareka,Sali Livareka,Sali Livareka
Самет Реџепи,Samet Rexhepi,Samet Rexhepi,Samet Rexhepi
Сами Џемаили,Sami Xhemaili,Sami Xhemaili,Sami Xhemaili
Сами Сељими,Sami Selimi,Sami Selimi,Sami Selimi
Самил Ахматовиќ,Samil Ahmatović,Samil Ahmatović,Samil Ahmatović
Самир Џељадини,Samir Xheladini,Samir Xheladini,Samir Xheladini
Самир Чеховиќ,Samir Čehović,Samir Čehović,Samir Čehović
Самир Шаини,Samir Shaini,Samir Shaini,Samir Shaini
Санер Џемаили,Saner Xhemaili,Saner Xhemaili,Saner Xhemaili
Сафет Зеќири,Safet Zeqiri,Safet Zeqiri,Safet Zeqiri
Саша Крстиќ,Saša Krstić,Saša Krstić,Saša Krstić
Сашо Денчиќ,Sašo Denčić,Sašo Denčić,Sašo Denčić
Саљадин Мустафи,Saladin Mustafi,Saladin Mustafi,Saladin Mustafi
Саљи Салии,Sali Salii,Sali Salii,Sali Salii
Саљи Саќипи,Sali Saqipi,Sali Saqipi,Sali Saqipi
Седат Иљази,Sedat Iljazi,Sedat Iljazi,Sedat Iljazi
Седат Хасиќ,Sedat Hasić,Sedat Hasić,Sedat Hasić
Сеид Саљији,Seid Saliji,Seid Saliji,Seid Saliji
Селман Красниќи,Selman Krasniqi,Selman Krasniqi,Selman Krasniqi
Семир Бехџети,Semir Behxheti,Semir Behxheti,Semir Behxheti
Семир Квазовиќ,Semir Kvazović,Semir Kvazović,Semir Kvazović
Семир Муџахиди,Semir Muxhahidi,Semir Muxhahidi,Semir Muxhahidi
Семир Прентиќ,Semir Prentić,Semir Prentić,Semir Prentić
Семир Шабани,Semir Shabani,Semir Shabani,Semir Shabani
Серкан Исљами,Serkan Islami,Serkan Islami,Serkan Islami
Сељмани Сеид,Selmani Seid,Selmani Seid,Selmani Seid
Сиарт Ќамили,Siart Qamili,Siart Qamili,Siart Qamili
Сокољ Ахмеди,Sokol Ahmedi,Sokol Ahmedi,Sokol Ahmedi
Стефан Ѓорѓевиќ,Stefan Gjorgjević,Stefan Gjorgjević,Stefan Gjorgjević
Стефан Димитриевиќ,Stefan Dimitrijević,Stefan Dimitrijević,Stefan Dimitrijević
Стефан Лазаревиќ,Stefan Lazarević,Stefan Lazarević,Stefan Lazarević
Стефан Павловиќ,Stefan Pavlović,Stefan Pavlović,Stefan Pavlović
Стефан Цветковиќ,Stefan Cvetković,Stefan Cvetković,Stefan Cvetković
Стефан Шикалоси,Stefan Shikalosi,Stefan Shikalosi,Stefan Shikalosi
Суад Зендељи,Suad Zendeli,Suad Zendeli,Suad Zendeli
Судејс Чајани,Sudejs Çajani,Sudejs Çajani,Sudejs Çajani
Сулејман Зеќири,Sulejman Zeqiri,Sulejman Zeqiri,Sulejman Zeqiri
Сулимани Дриљон,Sulimani Drilon,Sulimani Drilon,Sulimani Drilon
Сунај Кутриши,Sunaj Kutrishi,Sunaj Kutrishi,Sunaj Kutrishi
Суфијан Џелил,Sufijan Xhelil,Sufijan Xhelil,Sufijan Xhelil
Сухејб Рушити,Suhejb Rushiti,Suhejb Rushiti,Suhejb Rushiti
Сухејљ Мухарем,Suhejl Muharem,Suhejl Muharem,Suhejl Muharem
Тарик Цамиќ,Tarik Camić,Tarik Camić,Tarik Camić
Тауљант Шабани,Taulant Shabani,Taulant Shabani,Taulant Shabani
Таџедин Касами,Taxhedin Kasami,Taxhedin Kasami,Taxhedin Kasami
Теодор Чуриќ,Teodor Čurić,Teodor Čurić,Teodor Čurić
Тимур Шабан,Timur Shaban,Timur Shaban,Timur Shaban
Тино Спасиќ,Tino Spasić,Tino Spasić,Tino Spasić
Тиррон Љута,Tirron Luta,Tirron Luta,Tirron Luta
Тони Раденковиќ,Toni Radenković,Toni Radenković,Toni Radenković
Тоше Илиќ,Toše Ilić,Toše Ilić,Toše Ilić
Тураби Беќири,Turabi Beqiri,Turabi Beqiri,Turabi Beqiri
Турхан Аруч,Turhan Aruç,Turhan Aruç,Turhan Aruç
Турхан Кумбараџи,Turhan Kumbaracı,Turhan Kumbaracı,Turhan Kumbaracı
Турхан Куртиши,Turhan Kurtishi,Turhan Kurtishi,Turhan Kurtishi
Туше Стојановски Дарио,Tuše Stojanovksi Dario,Tuše Stojanovksi Dario,Tuše Stojanovksi Dario
Убејд Бериша,Ubejd Berisha,Ubejd Berisha,Ubejd Berisha
Узејр Љатифи,Uzejr Latifi,Uzejr Latifi,Uzejr Latifi
Улли Челику,Ulli Çeliku,Ulli Çeliku,Ulli Çeliku
Умит Шахин,Umit Şahin,Umit Şahin,Umit Şahin
Унејс Реџепи,Unejs Rexhepi,Unejs Rexhepi,Unejs Rexhepi
Уран Речица,Uran Reçica,Uran Reçica,Uran Reçica
Ураник Уштеленца,Uranik Ushtelenca,Uranik Ushtelenca,Uranik Ushtelenca
Усеин Елезовиќ,Usein Elezović,Usein Elezović,Usein Elezović
Фабиан Коџаџику,Fabian Koxhaxhiku,Fabian Koxhaxhiku,Fabian Koxhaxhiku
Фабрис Ондоа,Fabrice Ondoa,Fabrice Ondoa,Fabrice Ondoa
Фахд Нѕенге,Fahd Ndzengue,Fahd Ndzengue,Fahd Ndzengue
Фадиљ Рустеми,Fadil Rustemi,Fadil Rustemi,Fadil Rustemi
Фазљи Исљами,Fazli Islami,Fazli Islami,Fazli Islami
Фарих Буши,Farih Bushi,Farih Bushi,Farih Bushi
Фатлинд Шемшедини,Fatlind Shemshedini,Fatlind Shemshedini,Fatlind Shemshedini
Фатон Бељуљи,Faton Beluli,Faton Beluli,Faton Beluli
Фатон Вељии,Faton Velii,Faton Velii,Faton Velii
Фатон Даљипи,Faton Dalipi,Faton Dalipi,Faton Dalipi
Фатон Реџепи,Faton Rexhepi,Faton Rexhepi,Faton Rexhepi
Фатјон Леши,Fatjon Leshi,Fatjon Leshi,Fatjon Leshi
Фатљум Максути,Fatlum Maksuti,Fatlum Maksuti,Fatlum Maksuti
Фатљум Мифтари,Fatlum Miftari,Fatlum Miftari,Fatlum Miftari
Фатљум Шакири,Fatlum Shaqiri,Fatlum Shaqiri,Fatlum Shaqiri
Феми Бафќари,Femi Bafqari,Femi Bafqari,Femi Bafqari
Ферхан Куртиши,Ferhan Kurtishi,Ferhan Kurtishi,Ferhan Kurtishi
Ферхан Нуиши,Ferhan Nuishi,Ferhan Nuishi,Ferhan Nuishi
Ферхан Реџепи,Ferhan Rexhepi,Ferhan Rexhepi,Ferhan Rexhepi
Фестим Џафери,Festim Xhaferi,Festim Xhaferi,Festim Xhaferi
Фестим Вељиу,Festim Veliu,Festim Veliu,Festim Veliu
Фејзула Шабани,Fejzula Shabani,Fejzula Shabani,Fejzula Shabani
Фејми Ќазими,Fejmi Qazimi,Fejmi Qazimi,Fejmi Qazimi
Фејми Биљали,Fejmi Bilali,Fejmi Bilali,Fejmi Bilali
Фидан Шерифи,Fidan Sherifi,Fidan Sherifi,Fidan Sherifi
Фикрет Љиварека,Fikret Livareka,Fikret Livareka,Fikret Livareka
Филип Јовановиќ,Filip Jovanović,Filip Jovanović,Filip Jovanović
Филип Аврамовиќ,Filip Avramović,Filip Avramović,Filip Avramović
Филип Бошначки,Filip Bošnački,Filip Bošnački,Filip Bošnački
Филип Велиновиќ,Filip Velinović,Filip Velinović,Filip Velinović
Филип Илиќ,Filip Ilić,Filip Ilić,Filip Ilić
Филип Рековиќ,Filip Reković,Filip Reković,Filip Reković
Филип Симоновиќ,Filip Simonović,Filip Simonović,Filip Simonović
Филип Ступиќ,Filip Stupić,Filip Stupić,Filip Stupić
Филип Цветковиќ,Filip Cvetković,Filip Cvetković,Filip Cvetković
Фисник Љамалари,Fisnik Llamalari,Fisnik Llamalari,Fisnik Llamalari
Фисник Агуши,Fisnik Agushi,Fisnik Agushi,Fisnik Agushi
Фитим Куртиши,Fitim Kurtishi,Fitim Kurtishi,Fitim Kurtishi
Фламур Џелили,Flamur Xhelili,Flamur Xhelili,Flamur Xhelili
Фламур Миџаити,Flamur Mixhaiti,Flamur Mixhaiti,Flamur Mixhaiti
Флориан Рочи,Florian Roçi,Florian Roçi,Florian Roçi
Флоријан Реџепи,Florijan Rexhepi,Florijan Rexhepi,Florijan Rexhepi
Фуркан Ќани,Furkan Qani,Furkan Qani,Furkan Qani
Фуркан Бектеши,Furkan Bekteshi,Furkan Bekteshi,Furkan Bekteshi
Фуркан Исмаиљи,Furkan Ismaili,Furkan Ismaili,Furkan Ismaili
Фљамур Исмаиљи,Flamur Ismaili,Flamur Ismaili,Flamur Ismaili
Фљамур Рустеми,Flamur Rustemi,Flamur Rustemi,Flamur Rustemi
Фљоренд Муслији,Florend Musliji,Florend Musliji,Florend Musliji
Фљори Фетаху,Flori Fetahu,Flori Fetahu,Flori Fetahu
Фљориан Мемети,Florian Memeti,Florian Memeti,Florian Memeti
Фљориан Шерифи,Florian Sherifi,Florian Sherifi,Florian Sherifi
Хади Весељи,Hadi Veseli,Hadi Veseli,Hadi Veseli
Хади Иљази,Hadi Iljazi,Hadi Iljazi,Hadi Iljazi
Хадиз Рабдишта,Hadiz Rabdishta,Hadiz Rabdishta,Hadiz Rabdishta
Хазби Меџити,Hazbi Mexhiti,Hazbi Mexhiti,Hazbi Mexhiti
Хакан Џафери,Hakan Xhaferi,Hakan Xhaferi,Hakan Xhaferi
Халил Калач,Halil Kalač,Halil Kalač,Halil Kalač
Халук Зеќири,Haluk Zeqiri,Haluk Zeqiri,Haluk Zeqiri
Хамза Меџити,Hamza Mexhiti,Hamza Mexhiti,Hamza Mexhiti
Хамза Реџепи,Hamza Rexhepi,Hamza Rexhepi,Hamza Rexhepi
Хамид Неџипи,Hamid Nexhipi,Hamid Nexhipi,Hamid Nexhipi
Харбин Џони,Harbin Xhoni,Harbin Xhoni,Harbin Xhoni
Харбин Шабани,Harbin Shabani,Harbin Shabani,Harbin Shabani
Харис Исмаиљи,Haris Ismaili,Haris Ismaili,Haris Ismaili
Харис Исљами,Haris Islami,Haris Islami,Haris Islami
Харис Калач,Haris Kalač,Haris Kalač,Haris Kalač
Харис Мушовиќ,Haris Mušović,Haris Mušović,Haris Mušović
Харун Гегиќ,Harun Gegić,Harun Gegić,Harun Gegić
Хасип Љоки,Hasip Loki,Hasip Loki,Hasip Loki
Хашим Шефити,Hashim Shefiti,Hashim Shefiti,Hashim Shefiti
Хаљил Јусуфи,Halil Jusufi,Halil Jusufi,Halil Jusufi
Хаљиљ Бајрами,Halil Bajrami,Halil Bajrami,Halil Bajrami
Хаќиф Исаки,Haqif Isaki,Haqif Isaki,Haqif Isaki
Хаџи Драме,Haxhi Drame,Haxhi Drame,Haxhi Drame
Хекуран Џеладини,Hekuran Xheladini,Hekuran Xheladini,Hekuran Xheladini
Херолинд Реџепи,Herolind Rexhepi,Herolind Rexhepi,Herolind Rexhepi
Хисни Шаќири,Hisni Shaqiri,Hisni Shaqiri,Hisni Shaqiri
Хијнор Куртиши,Hijnor Kurtishi,Hijnor Kurtishi,Hijnor Kurtishi
Христијан Стаменковиќ,Hristijan Stamenković,Hristijan Stamenković,Hristijan Stamenković
Хузејфе Дураковиќ,Huzejfe Duraković,Huzejfe Duraković,Huzejfe Duraković
Хузри Џемаили,Huzri Xhemaili,Huzri Xhemaili,Huzri Xhemaili
Чарлс Аколатсе,Charles Acolatse,Charles Acolatse,Charles Acolatse
Члерим Аслани,Çlerim Aslani,Çlerim Aslani,Çlerim Aslani
Члирим Алими,Çlirim Alimi,Çlirim Alimi,Çlirim Alimi
Члирим Нухии,Çlirim Nuhii,Çlirim Nuhii,Çlirim Nuhii
Шабан Ќерими,Shaban Qerimi,Shaban Qerimi,Shaban Qerimi
Шабан Мемети,Shaban Memeti,Shaban Memeti,Shaban Memeti
Шабан Садики,Shaban Sadiki,Shaban Sadiki,Shaban Sadiki
Шабан Сулиман,Shaban Suliman,Shaban Suliman,Shaban Suliman
Шабан Чупи,Shaban Çupi,Shaban Çupi,Shaban Çupi
Шабан Шабани,Shaban Shabani,Shaban Shabani,Shaban Shabani
Шаип Илази,Shaip Ilazi,Shaip Ilazi,Shaip Ilazi
Шахин Амит,Shahin Amit,Shahin Amit,Shahin Amit
Шаќир Мемеди,Shaqir Memedi,Shaqir Memedi,Shaqir Memedi
Шевал Исени,Sheval Iseni,Sheval Iseni,Sheval Iseni
Шевал Халили,Sheval Halili,Sheval Halili,Sheval Halili
Шеваљ Незири,Sheval Neziri,Sheval Neziri,Sheval Neziri
Шелден Крантхове Јустен,Shelden Kranthove Justen,Shelden Kranthove Justen,Shelden Kranthove Justen
Шемси Незири,Shemsi Neziri,Shemsi Neziri,Shemsi Neziri
Шендрит Адеми,Shendrit Ademi,Shendrit Ademi,Shendrit Ademi
Шкелќим Адеми,Shkelqim Ademi,Shkelqim Ademi,Shkelqim Ademi
Шкелќим Ајдари,Shkelqim Ajdari,Shkelqim Ajdari,Shkelqim Ajdari
Шкелќим Мемети,Shkelqim Memeti,Shkelqim Memeti,Shkelqim Memeti
Шкељзен Џафери,Shkelzen Xhaferi,Shkelzen Xhaferi,Shkelzen Xhaferi
Шкељќим Ферати,Shkelqim Ferati,Shkelqim Ferati,Shkelqim Ferati
Шкумбин Алиу,Shkumbin Aliu,Shkumbin Aliu,Shkumbin Aliu
Шкумбин Реџепи,Shkumbin Rexhepi,Shkumbin Rexhepi,Shkumbin Rexhepi
